,rsi,macd_signal,macd_hist,sma_20,MSFT US Equity_news_heat,AAPL US Equity_news_heat,GOOGL US Equity_news_heat,return
2024-03-08,-0.033393358870954126,0.7947411049641863,-0.09294443589978725,1.2563084298902538,-0.6730894729851855,-0.5994838339680894,-0.8709265652753468,-0.018883912793133506
2024-03-11,-0.12986444900301383,0.7713737090015482,-0.2937340250978977,1.2553444223467782,0.09612772029557459,-0.21198708489941115,-1.0915394889030756,0.0264617900039954
2024-03-12,0.425648103158566,0.7680879060029283,-0.05559903737454533,1.259673385424463,-0.929322656480459,-0.0038193480744110864,-0.2595136055070703,0.007383882351286841
2024-03-13,0.03479379456352474,0.7578465583464369,-0.13808046923502224,1.2651118544500177,-0.5887136974099743,-0.43765954974538823,-0.3956632955173256,-0.008076802425296625
2024-03-14,0.04018054137975459,0.7415950462168089,-0.20935123174824105,1.268658675979776,-0.1590701776098187,-1.0148118412571698,-0.4473497519101078,-0.008295152889675639
2024-03-15,-0.4775953414116026,0.6962102464754583,-0.5548245764270849,1.2697318283563808,-0.8628055573306759,-0.7883837766405032,-0.3969239407951983,-0.000673803255562655
2024-03-18,-0.32338734900595084,0.6402209596652276,-0.6805765226240291,1.2734338640733673,0.003599070700059323,2.0277365687198423,2.578198914984457,-0.01567416210935768
2024-03-19,-0.16014368656467004,0.5863850099688184,-0.6550414513733125,1.2799840822289765,1.050531623466101,-0.44811201323992844,0.43384129732293425,0.006209865004026316
2024-03-20,0.17565523449476872,0.5521549410793254,-0.4225476350896122,1.2897935599782733,0.2255384190305613,0.8671353209405316,1.2179626601597755,0.006736691257947625
2024-03-21,0.19696363868784492,0.531120959792429,-0.2660635272366545,1.2938101038573135,0.15902131988077833,2.470140234458636,-0.3011148996768705,0.022499829819927042
2024-03-22,0.2075842513632994,0.5180173715530999,-0.17202198110993178,1.2983269614826662,-0.5104202246753073,2.15278833076898,-0.8507562408293831,0.01076096584301256
2024-03-25,-0.08537611940880144,0.49812413532244415,-0.25253614868406293,1.3013957188293965,-0.29029262612709533,2.0434782306092103,1.1297174907086842,0.0013984077062789702
2024-03-26,-0.26234243001432983,0.4666216047050852,-0.390203473243816,1.3035173485785845,-0.46460883732312214,1.063969061205187,-0.298593609121125,-0.00462581131519324
2024-03-27,-0.06720820101470593,0.43567916487721675,-0.3835617086428558,1.307486757591988,-0.8088412959581864,0.07740762727472686,0.12876514007773227,-0.007481746698768887
2024-03-28,-0.16774575142879597,0.4015542285310627,-0.4213009343441969,1.3089727115699614,-1.083839030770033,-0.4498750793715376,-0.7738568788791462,-0.005049808515079635
2024-04-01,-0.05268742137151175,0.36992935516375525,-0.39165425901112233,1.3075493423749154,0.36931370532513136,-1.4451259106649288,-0.13470972299766953,-0.008056763284400192
2024-04-02,-0.511412748761312,0.3247342648219184,-0.552574931909082,1.3042949757223663,0.09069247094870518,-1.420568918117515,0.20314321147222358,-0.00130010676854464
2024-04-03,-0.39071959923835575,0.27605725005130805,-0.5938648849812971,1.3062525447345887,-0.6192546223114311,-0.5986023009022848,-0.346498129680289,-0.022087049828589667
2024-04-04,-1.0572034142576587,0.20157068029942865,-0.8999241736852485,1.3037398021517712,-1.1378032921425223,-0.7262986621488365,0.9519665065286286,-0.00873874753978865
2024-04-05,-0.5470991171747019,0.13127431934546038,-0.8502351215051371,1.3003847726987254,-1.257249367074915,-0.9230064691183768,-0.79402720332511,-0.012640623006871188
2024-04-08,-0.5954552819491087,0.06441458037951119,-0.8094823816008333,1.2996577012734107,-0.53384356114634,-1.1302926728775724,0.04682319701600453,0.001982297055260984
2024-04-09,-0.37167026929250363,0.010164530468754195,-0.6599520055129483,1.3003963951864155,1.3291528578425267,-1.264915365355446,1.5444697871288144,-0.01292255786112495
2024-04-10,-0.8902474917273632,-0.05331863388427993,-0.7694417057722653,1.2949652445427347,1.3633172823085633,-1.2116455815218252,0.5561238892765895,0.022977925929545284
2024-04-11,-0.09047707918008185,-0.08899254950387303,-0.43966930586358216,1.2953333927987578,-0.5652903609389417,0.04856890269340512,-0.019991002711250365,-0.004989071961347014
2024-04-12,-0.7062599886527897,-0.13146859862057536,-0.5203315312024324,1.2925861535584047,-0.9553342069261913,-0.7699975155537216,-0.7045213885961458,-0.02274384680403252
2024-04-15,-1.2792448765495383,-0.20591674236870028,-0.8994685038612089,1.2891509864218433,-1.2923196664320964,0.6808799774655317,-1.0713691644571117,-0.02648985229576495
2024-04-16,-1.232198562498161,-0.29498060399058934,-1.0727871147240584,1.2850152875091796,1.579821381292196,-0.1350418415841813,-0.4952542724692718,-0.02862583453862555
2024-04-17,-1.615057783946919,-0.4106173990086029,-1.3878988281920996,1.2772540453919956,0.2606087183877425,0.1649312673796118,0.027913517847913343,-0.058524954759080816
2024-04-18,-1.878782086640779,-0.5538286544390134,-1.7148870209888483,1.2653115817837055,0.4052898795734577,-0.4323703513505607,1.8785407857650889,-0.06274944381568137
2024-04-19,-2.2804134464922914,-0.7369218918163547,-2.1878223751877086,1.2495431606626641,-0.8555585582015167,-0.5496142491025722,-0.2431252168947246,-0.03607580111825526
2024-04-22,-1.9193478108242783,-0.9214983881230571,-2.205411410458309,1.2352777697439703,0.01343428380391837,-0.6606874153939514,0.16784514369178724,-0.02294806354378942
2024-04-23,-1.365173247589352,-1.0742258178356643,-1.827733349959096,1.2249021128114894,0.8932976245030921,0.8453488608856464,-0.3048968355104887,-0.004123740703395051
2024-04-24,-1.2017913950909356,-1.190496731443566,-1.3954184419442894,1.2161297282851933,0.6650171519345756,-0.613462429725848,-0.3754929710713618,0.005188754803757467
2024-04-25,-1.259040063675736,-1.2791204291247154,-1.0675674872367313,1.2060000362791636,2.02473536354308,-0.40265009370343413,1.1196323284857024,0.0379162031916922
2024-04-26,-0.8430578719878131,-1.326763622204883,-0.5816054434119565,1.1983116695431748,2.760694007248949,-1.1713469270850436,2.6790505372142763,0.03315307894783959
2024-04-29,-0.6894879383211182,-1.337462514424385,-0.14350620259644525,1.1908783526214808,0.7260990017374894,0.47447530677214067,-0.5292916949718357,-0.004362554699790411
2024-04-30,-1.3212788378274924,-1.3555607985933162,-0.23125094048625416,1.181249675356196,1.7479258789489436,-0.49533699890803184,0.12246191368836873,-0.019037496459944014
2024-05-01,-1.5651488331025176,-1.390210431367734,-0.4275229794641669,1.169288971872774,0.18153878146066582,-0.9099094064264228,-0.7738568788791462,-0.0027328262932050373
2024-05-02,-1.0511897808998343,-1.4098510815620384,-0.24954088965389765,1.1628668253999697,0.8878623751562227,1.2808261953931177,-0.2532103791177065,0.01361146162841842
2024-05-03,-0.23216370105929393,-1.375114581116995,0.39528355844311813,1.1593141435567562,-0.8439115953153679,2.339925207309785,-0.6818297735944366,0.021127142382882713
2024-05-06,0.06357224426812401,-1.2877581809711167,1.0192698722636648,1.1581481234377435,0.11411580741973776,1.3717500344661062,-0.7448620374880733,0.04070919412025975
2024-05-07,-0.04098431102732982,-1.1748901897975712,1.3217957937412155,1.155424381530765,1.44419896901793,3.0028380727948427,0.4678787198254983,0.054463086567720476
2024-05-08,0.03547424724334761,-1.0456496976030532,1.5159469916375063,1.15554280753018,1.2742827215788926,1.8151611665658192,-0.037640036601468675,0.039175876417388844
2024-05-09,0.02491023905331744,-0.9117544476481617,1.5711448379491924,1.1518807985952848,0.32440819286409106,1.329814247192831,0.21827095480669642,0.014761811953226012
2024-05-10,0.13561261873063726,-0.7749011479495876,1.6062224904371731,1.1519901116670777,-0.4404090366596796,0.6948585732232901,-0.24816779800621555,0.0077098952517680175
2024-05-13,0.27776155074653125,-0.6350333276650956,1.6419697951457994,1.15653571006416,1.278812096034617,0.9633483584083478,0.7716942317928274,0.019974497851576123
2024-05-14,0.535627112917082,-0.4860930714848079,1.7495541095245075,1.1625297171774147,-0.32808055015771126,0.27512290060518674,2.5479434283155116,0.039982391536757644
2024-05-15,1.0869561664107834,-0.30348491135785044,2.1488006188714905,1.1754468995241079,0.03957524494838565,0.08357835873535893,2.658880212768312,0.036673478329817266
2024-05-16,0.925378403006217,-0.11500960507810026,2.2183754170246965,1.1897578270411322,0.3675019555428415,-0.07471979322412377,0.9166684387481919,0.030553745786874753
2024-05-17,0.8198603536139272,0.0632113693650126,2.096775741620251,1.207329948896478,0.827686400244454,-0.7420403240382044,-0.593584604143345,0.037770710662440754
2024-05-20,1.1088906960623208,0.24357381213477097,2.1221700683845373,1.2256034998008,1.0478139987926662,-0.4463489471083193,-0.8759691463868378,0.030335110916285934
2024-05-21,1.1479342505107317,0.41715144423751827,2.041713263598736,1.2415723632698499,2.7588822574666585,-0.3685221707272847,-1.0877575530694574,0.00990466819177338
2024-05-22,1.2036181962208805,0.5792918431962277,1.9060863051585035,1.257158609957792,1.618515180213957,-1.0087670430916527,-0.7385588110987097,0.00518154360730172
2024-05-23,0.7553237284800443,0.7104565266997027,1.5387647668287885,1.271542398836123,1.144872022843906,-1.1783991916114804,-0.31372135245559785,0.01590971643175232
2024-05-24,0.9923187695642514,0.8265522444466522,1.3600713742347108,1.2855345000653906,-0.6705012590104859,-1.2990432883315952,0.5170438856625349,0.008352421545866573
2024-05-28,1.106783401085126,0.9313483539794896,1.2260764233277959,1.2995721799526545,-0.833170507320364,-0.24523347480975594,-0.5809781513646177,0.0003260784230079139
2024-05-29,0.7473681476211629,1.0103303464661153,0.9199630359633915,1.316388209213183,-0.6120076231822719,0.15007113855604884,-0.09941165521723291,-0.02468160247781781
2024-05-30,-0.3069723650371584,1.0288972011624822,0.20353789370669328,1.3305715978031714,-0.7117832719069466,-0.17874069498906633,0.5283896931633894,-0.015136553830153443
2024-05-31,-0.2504290927184404,1.0080105725404327,-0.26431616460973406,1.3425049625037289,-1.1961675172720014,-0.786620710508894,-0.0439432629908325,-0.02091174067919599
2024-06-03,-0.15616135586709315,0.9644361898550623,-0.5333559785836551,1.3499200675900682,0.6380997265976985,-0.7813315121140665,-0.8999214066664197,-0.022998647544748896
2024-06-04,-0.07546410063708656,0.9092908418316783,-0.6705687830485328,1.355567937672478,0.6290409776862496,-0.6640876143620549,-0.7284736488757277,0.005076148680848602
2024-06-05,0.6624594946757162,0.882392539894227,-0.3356048195349273,1.366098458294971,0.08888072116641557,0.6773538452023131,0.33929290148247915,0.02511556995317643
2024-06-06,0.4978631875821723,0.8663946008499487,-0.20634426792445917,1.3754447329432073,1.7982666407568533,0.5462572849876581,-0.593584604143345,0.025885056333217582
2024-06-07,0.5718410228151244,0.8591094192031151,-0.10302515476472723,1.3853011492796996,-0.6605366352078919,-0.8241488324531469,-1.1318801377950032,0.0259146824738814
2024-06-10,0.6553771362010549,0.8591033680266202,-0.016706522159405067,1.3949662502156934,0.3469256544439788,2.268143229094268,-1.0436349683439117,0.042817196975434735
2024-06-11,1.189713061519714,0.8913200953833604,0.3654031533117193,1.4074097706243944,1.097248885709431,3.493348257267544,-0.09689036466148744,0.042720725531372405
2024-06-12,1.6672952214483072,0.9760544646596842,0.9881768563833778,1.4226225414986269,1.662514817783852,1.7495499198109343,0.017828355624931732,0.054486381195168576
2024-06-13,1.8116428245699814,1.0997292880234806,1.4499472235388844,1.435184473886854,0.673040615256145,0.6101054656109339,-0.5116426610816174,0.055983303448207344
2024-06-14,1.878743523417694,1.2444830220380787,1.6999087747985107,1.4491948009713649,0.03232824581922634,-0.49974466423705494,-1.4445201667074414,0.06925761600230573
2024-06-17,2.1270749318060913,1.417334336466158,2.0331003188562407,1.4667760217344434,-0.736112483269124,0.20686705465288782,-0.9969910930626205,0.05105141504943034
2024-06-18,2.1465290252056706,1.5969346486591829,2.113132440948349,1.4823531554947633,0.8725919127054942,0.3083692905155315,-0.6944362263731638,0.016752626144456606
2024-06-20,1.4680055678312822,1.7472998309288152,1.7664514123132242,1.4952430130784806,-0.3388216381527151,-1.1757545924140664,-1.1482685264073487,0.007009930950381937
2024-06-21,1.3681419927786342,1.8636913264708972,1.3635788171820407,1.5073312554889386,-0.986781006718793,-0.9667053225232618,-1.4836001703214963,-0.021345861332987548
2024-06-24,0.17256082065173522,1.9053588143058557,0.4774737810995318,1.5159125349130658,-0.8366645961862086,1.269492198832773,-1.1205343302941486,-0.018270491899344266
2024-06-25,0.6596367298665828,1.9237891012702986,0.2019184228199234,1.5265772539097027,1.125072185937453,-0.39043456407728483,0.3317290298152427,-0.020626170781419262
2024-06-26,0.6104980384941694,1.919573765579394,-0.06662178127052266,1.5361757603746156,-0.36133909973260286,-0.9300587336448136,0.6796671265081177,-0.009015829258470665
2024-06-27,0.6237494745522794,1.8970812731943782,-0.28335909353298533,1.547122657670082,-0.20138747609615956,-0.8837152810425147,-0.08680520243850554,-0.007806765769333368
2024-06-28,0.597842817444899,1.858317702841919,-0.47630757919173766,1.5624236697234688,-0.82320588351777,-0.42456248705343413,-0.646531705814,0.024817912729075298
2024-07-01,0.82030191900645,1.8193358509386137,-0.4788960428920092,1.5789845229907045,-0.9813457573719235,-0.5994838339680894,-0.09815100993936003,0.011390800062430984
2024-07-02,0.9622240484861267,1.7859824180674952,-0.4121521595988237,1.5961028631101617,-0.5122319744575973,-0.21551321716262942,0.34433548259397007,0.026211066114391945
2024-07-03,1.3099546192587024,1.7764652282246352,-0.12949313692687636,1.6156401387374886,-0.6083841236176922,-0.6081732313310204,0.6557148662285356,0.028849193218590363
2024-07-05,1.3835305565098956,1.7829513585998722,0.06028017789420021,1.6315530207911646,-1.59345836238841,-1.4941139624646413,-1.3298014464210226,0.036423217940670494
2024-07-08,1.5446888473673894,1.8063392819500317,0.2607079163608397,1.6495727275916159,-0.5976430356226884,-0.06162273053216979,-0.8936181802770561,0.027814399380551302
2024-07-09,1.491986173359536,1.8327775171862488,0.29687964759950686,1.6669635722867353,0.0988453449690093,-0.23742561051262953,-1.0398530325102935,0.03754143523762732
2024-07-10,1.8189135300061627,1.8805418162121585,0.5497720325734163,1.686956045658704,1.432422595433046,0.4622597771459914,0.5851187306676626,-0.001895148693304316
2024-07-11,0.4514927544468475,1.8890768345592717,0.08457665242704593,1.6978568736000714,-0.532937686255195,0.9598222261451295,-0.12084262494106929,0.003950466151179555
2024-07-12,0.6961922099137151,1.8831795851486655,-0.08656653882589024,1.7062103859132143,-1.4244479898405176,-0.7935470417402158,-0.6893936452616729,-0.0010662159274653638
2024-07-15,0.7450679701918975,1.8666711473930142,-0.2123979512444726,1.713325675680804,-1.092768368982747,0.15611593672156596,2.027296928554072,-0.003585527312398251
2024-07-16,0.5786216458355851,1.8334556207564068,-0.4105168162512535,1.7189548712715341,-0.4404090366596796,-0.42544402011923876,0.8826310162456281,-0.05604172462687418
